,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,Strength
1925,2,1,1,4,1,5,2,2,5,1,3,3,3,2,3,3,4,4,4,4,4,4,3,3,3,4,2,3,1,4,5,1,2,3,3,3,3,3,3,3,4,4,3,4,3,3,3,2,5
1926,1,3,1,3,3,3,2,3,4,2,2,4,2,2,3,2,3,3,4,4,3,1,4,3,4,4,4,4,5,5,4,4,1,1,4,4,1,1,1,1,2,2,1,2,1,3,2,1,4
1927,1,3,1,1,3,3,1,3,5,4,5,5,5,5,5,2,4,5,2,1,2,5,5,5,4,5,4,2,4,5,2,4,1,1,3,1,2,2,4,5,4,4,4,4,4,5,4,4,5
1928,3,2,3,2,1,4,1,2,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,3,1,2,3,4,2,3,2,2,4,1,2,2,2,3,3,3,2,0
1929,3,3,1,2,1,3,1,3,4,3,3,4,1,4,-1,1,3,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,4,4,4,4,4,3,5,4,1,1,2,1,2,3,1,1,4
1930,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,4,3,3,4,3,5,3,4,4,4,3,4,4,4,4,4,2,2,3,3,2,3,2,2,3,1,2,2,2,2,2,1,4
1931,1,1,1,2,1,4,1,1,5,1,2,3,1,3,1,1,3,1,4,3,5,5,1,3,4,5,1,2,2,1,4,3,1,3,3,1,1,3,1,4,2,3,4,3,3,3,1,3,4
1932,1,4,3,4,3,4,2,4,5,4,4,5,4,4,4,4,2,2,3,4,4,4,4,2,1,2,2,2,2,1,1,1,1,3,4,1,3,2,2,2,3,3,4,3,4,3,3,3,2
1933,1,1,2,1,1,2,1,1,3,3,4,3,4,3,3,2,5,5,4,5,5,5,5,4,5,4,5,5,5,3,5,2,1,3,3,5,3,5,4,5,1,2,1,-1,2,2,1,1,4
1934,1,1,1,1,1,1,2,1,4,4,4,1,4,4,1,3,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
1935,1,1,1,2,1,1,1,1,5,3,3,1,2,1,2,1,1,1,3,2,5,1,3,2,1,4,3,1,4,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,2,3,1,1,1
1936,1,1,1,1,1,1,1,1,4,1,1,5,4,1,1,1,4,4,5,3,4,5,3,5,1,4,3,2,3,3,4,4,1,1,2,4,2,4,1,4,1,1,1,1,1,1,1,1,4
1937,4,4,1,1,1,3,3,1,4,4,4,4,2,1,1,1,1,4,5,4,5,1,2,1,5,2,4,3,4,1,1,2,1,1,1,4,3,3,1,3,3,1,3,1,4,5,1,1,4
1938,2,2,2,2,2,2,1,2,4,4,3,3,3,3,3,2,3,4,3,3,3,2,2,3,4,3,3,2,3,3,3,2,3,2,2,1,4,2,3,2,2,2,2,2,2,2,2,2,0
1939,1,2,2,2,-1,2,2,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,2,3,3,-1,4,4,2,3,2,4,2,2,2,4,2,2,2,2,2,2,2,3,2,2,2,0
1940,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,3,1,2,1,1,3,1,3,1,1,1,2,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1941,3,2,1,1,1,1,1,1,3,2,2,1,2,1,3,1,2,2,3,2,2,3,3,3,4,3,4,5,4,4,4,4,1,1,3,1,1,2,3,2,1,2,2,2,1,2,1,1,4
1942,4,3,2,2,2,2,3,3,3,2,1,2,1,1,2,2,4,2,2,3,5,4,4,4,2,3,2,2,2,4,3,2,2,3,2,3,2,3,3,2,2,4,2,2,4,3,3,2,4
1943,3,4,3,3,2,3,3,4,4,5,4,2,2,4,3,4,3,5,5,5,4,5,4,5,4,3,1,4,2,2,4,4,4,2,4,3,5,3,3,4,2,3,2,4,4,4,2,1,5
1944,3,3,1,3,1,4,2,3,4,4,3,3,3,3,2,3,3,5,3,4,5,4,3,5,4,5,4,5,5,3,5,4,1,1,2,4,2,2,1,4,1,1,1,1,1,2,1,1,0
1945,2,1,1,4,1,1,1,1,3,4,4,1,2,3,3,4,3,3,3,1,1,3,5,1,2,3,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,4,4,1,4,3,1,1,1
1946,3,4,1,2,1,2,1,3,3,4,4,1,2,4,2,4,4,4,4,4,5,3,3,4,3,4,2,4,4,2,3,1,4,2,4,2,5,4,4,4,1,1,1,3,2,1,2,1,4
1947,1,4,1,2,1,1,1,1,5,2,5,5,2,3,4,5,3,4,5,5,5,4,5,5,5,5,1,4,3,4,5,4,1,1,4,2,1,4,1,4,3,1,1,3,2,1,1,3,0
1948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,5,1,1,4,1,4,4,5,1,1,4,4,4,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1
1949,3,2,1,1,1,2,1,1,3,4,4,3,2,2,1,1,1,3,3,1,1,1,4,1,4,5,4,5,5,5,4,5,4,4,3,4,2,4,3,3,2,2,2,2,1,1,2,1,3
1950,1,2,1,2,1,2,1,1,4,4,3,4,2,3,3,1,2,3,2,3,5,4,2,1,1,2,4,2,2,4,4,2,1,1,3,1,3,3,2,2,3,1,3,3,4,3,2,2,3
1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,4,4,4,2,2,4,3,3,4,3,4,3,2,4,2,4,2,4,3,2,2,2,2,2,3,2,2,2,2,4
1952,2,4,1,3,4,3,4,2,4,4,5,4,5,5,5,4,4,4,5,4,5,5,4,4,2,4,4,3,4,4,4,3,1,2,3,2,3,3,1,4,1,2,2,2,2,2,2,1,0
1953,4,1,4,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,3,1,4,4,2,2,4,2,2,4,2,2,2,2,2,2,2,1,0
1954,3,3,1,1,1,2,1,1,4,2,2,1,1,1,1,4,1,1,5,1,1,2,4,3,3,5,2,4,1,1,2,2,2,3,1,1,3,3,1,2,2,3,1,3,2,3,1,2,1
1955,1,2,1,1,1,1,1,1,4,1,1,4,4,5,3,3,1,2,1,1,2,3,3,1,3,5,3,3,4,3,3,3,2,1,3,3,4,1,1,1,3,1,1,2,2,3,1,1,1
1956,2,3,3,3,2,4,2,3,4,3,2,3,3,3,3,2,4,4,3,3,3,4,4,4,-1,3,1,4,3,3,4,1,2,1,4,3,4,2,3,2,1,1,1,2,1,2,2,1,0
1957,1,1,1,1,1,1,1,1,1,3,3,1,1,2,1,2,4,5,4,4,5,4,2,5,3,5,4,3,4,4,4,4,2,3,3,3,3,3,2,5,1,2,2,2,1,2,1,1,4
1958,4,3,1,1,1,1,1,1,5,4,5,5,4,2,4,1,2,5,5,5,5,4,4,5,2,4,5,5,5,4,5,5,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,0
1959,1,5,1,5,5,1,5,5,1,1,1,5,1,1,1,5,1,4,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1960,2,4,4,1,1,2,2,4,4,5,4,3,3,5,4,3,4,3,2,3,3,4,3,3,4,4,2,3,2,3,3,3,4,4,2,1,4,3,3,3,2,3,1,2,2,3,1,2,0
1961,2,3,1,3,2,3,2,2,4,4,3,4,4,4,3,2,3,3,5,4,5,5,2,3,4,5,5,3,5,5,4,4,1,4,3,2,2,2,1,4,1,2,2,2,3,2,1,2,0
1962,1,1,1,1,1,1,1,1,5,5,1,1,3,1,3,5,1,1,5,1,3,5,1,1,5,5,1,5,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,5,4,3,1,1,1
1963,1,1,1,1,1,1,1,1,4,4,1,2,3,4,4,1,1,1,1,1,1,1,1,1,3,4,4,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1964,5,2,2,4,2,2,2,2,4,1,1,3,1,1,2,3,4,1,3,3,1,5,4,2,3,3,2,5,2,3,3,2,1,2,2,1,2,3,1,3,2,4,3,2,4,4,3,3,3
1965,3,2,2,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5
1966,3,4,2,3,3,3,3,4,4,3,4,4,3,4,4,4,1,1,1,1,1,2,1,1,2,3,3,4,2,2,2,2,1,2,1,3,1,2,2,2,3,3,3,3,4,3,2,3,2
1967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,3,4,4,2,4,4,4,4,3,3,3,4,5,5,3,4,2,2,2,3,2,1,2,2,3
1968,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,3,4,4,4,4,5,5,1,4,5,5,4,3,4,4,5,4,2,3,1,1,3,2,1,2,1,1,1,1,1,1,1,1,0
1969,3,3,3,1,1,2,1,1,3,2,4,4,4,4,3,4,1,1,3,3,3,3,5,3,3,2,1,2,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,3,1,1,2
1970,2,4,3,3,3,3,2,3,5,4,3,3,4,4,4,4,3,3,5,3,4,3,2,5,2,2,1,1,1,2,2,2,1,1,2,2,3,2,2,3,1,2,1,1,1,2,1,1,0
1971,1,1,2,1,1,1,1,1,4,4,3,3,2,4,2,4,3,4,3,4,4,4,1,3,4,4,3,2,4,1,2,4,4,2,3,2,5,4,4,4,2,2,1,3,2,1,3,1,4
1972,1,3,3,1,2,3,1,3,5,4,5,3,4,5,3,4,5,4,4,5,5,5,3,4,4,5,5,3,5,4,5,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0
1973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,1,1,1,1,5,1,1,1,1,5,1,5,5,1,1,1,1,1
1974,2,1,1,1,1,3,1,2,4,2,2,2,3,2,1,2,1,3,5,4,5,3,3,4,1,4,3,3,3,4,2,2,1,2,3,3,3,2,3,3,1,1,2,2,1,1,1,2,4
1975,1,1,1,1,1,2,1,4,4,5,2,1,4,2,2,4,1,5,4,3,5,1,1,4,5,4,4,3,5,4,5,4,2,1,5,2,5,2,4,5,1,1,4,4,4,3,2,4,5
1976,1,2,1,1,1,2,1,1,1,4,3,1,3,4,1,3,3,2,3,2,2,4,1,2,4,3,4,2,4,4,4,3,1,4,4,2,2,1,1,4,1,1,1,1,2,3,1,1,4
1977,3,1,1,2,1,2,1,1,5,3,4,5,5,3,3,4,4,1,5,5,4,5,1,5,3,1,2,5,4,2,5,1,1,1,2,3,1,2,1,1,1,1,2,1,3,4,1,1,0
1978,3,5,1,3,3,4,3,5,5,4,4,5,5,5,5,5,3,3,5,5,4,4,5,4,4,5,5,-1,5,4,5,5,5,3,3,5,4,5,3,4,4,3,4,3,4,5,3,2,5
1979,3,4,3,4,2,5,3,4,5,4,3,4,3,3,3,3,2,2,3,3,4,4,4,4,3,5,4,4,3,4,4,4,1,1,3,2,1,1,2,3,1,2,3,2,1,3,2,3,2
1980,1,4,1,1,1,4,2,4,5,1,1,2,3,3,2,3,1,4,1,1,5,4,4,3,5,1,1,4,3,2,4,1,3,4,2,1,5,5,2,3,1,4,1,3,1,4,2,2,3
1981,1,4,4,1,2,1,3,4,2,4,3,1,2,2,3,4,1,4,4,1,1,2,3,4,1,5,2,1,1,2,4,4,2,5,1,2,1,3,3,5,3,5,1,2,1,3,4,5,3
1982,1,1,1,1,2,1,1,1,2,3,2,1,2,2,2,1,1,2,2,4,4,3,2,3,4,2,4,2,4,3,3,1,1,2,2,2,2,3,2,2,1,2,1,3,2,2,1,1,4
1983,3,1,1,3,2,1,1,1,5,3,4,4,3,4,3,4,1,3,3,3,3,3,3,3,1,3,3,2,4,2,2,2,3,1,2,2,2,1,2,2,3,1,3,4,3,3,2,2,2
1984,4,4,1,1,1,4,3,4,2,2,1,1,1,1,1,3,1,1,3,1,1,2,1,2,4,4,1,3,3,3,4,4,1,3,2,1,1,2,2,1,4,3,4,4,4,4,4,4,3
1985,2,2,2,3,2,2,2,2,5,4,4,5,4,4,4,4,4,2,2,2,3,4,2,3,2,3,2,1,2,2,3,2,2,4,4,4,2,3,2,4,2,2,2,3,2,4,2,2,2
1986,3,4,1,4,2,3,3,3,3,4,5,5,5,4,5,4,4,5,3,5,5,5,3,3,3,5,5,3,4,3,5,2,1,3,3,3,4,4,2,3,2,2,3,3,3,3,4,2,5
1987,3,4,1,1,1,2,1,2,2,4,4,4,3,3,2,1,4,5,4,5,5,4,5,4,5,5,4,4,5,5,4,4,3,3,5,3,4,3,3,3,4,2,2,4,1,2,1,2,4
1988,3,4,5,2,4,3,4,4,4,4,4,4,3,5,4,3,2,5,2,3,4,3,3,5,2,2,2,3,4,2,2,2,4,3,4,4,3,3,2,2,3,3,2,2,1,3,2,3,2
1989,1,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,3,3,-1,2,4,2,1,1,5,5,4,1,5,4,2,4,3,1,4,3,4,4,4,4,4,3,4,4,-1,3,4,4,3
1990,1,1,1,3,1,1,1,1,5,5,5,1,5,4,5,4,5,2,5,5,5,5,1,1,5,4,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1991,4,3,4,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,2,3,5,4,3,3,5,4,5,5,4,4,4,5,4,3,4,3,4,3,2,4,3,4,3,4,3,3,3,3,5
1992,4,4,3,4,2,4,4,3,2,4,4,3,4,2,3,3,2,1,4,3,4,3,2,3,2,3,1,2,1,2,2,2,1,2,1,2,5,4,2,4,1,4,4,4,4,3,2,3,2
1993,2,3,2,4,1,4,2,4,3,3,4,4,3,3,3,2,4,2,4,5,5,5,2,4,5,4,4,4,5,4,3,3,1,2,4,3,4,2,3,2,2,4,2,3,2,4,2,1,5
1994,3,3,1,2,1,2,1,2,4,5,5,5,5,1,4,1,1,4,5,4,4,2,1,2,5,5,5,5,5,2,4,3,4,3,5,1,4,2,5,1,4,2,5,2,5,4,4,2,5
1995,4,4,1,5,1,4,3,2,5,5,2,3,5,5,5,5,3,3,5,4,-1,5,5,5,4,5,1,5,4,2,5,5,2,1,5,5,1,1,2,2,1,5,2,5,1,2,1,1,5
1996,2,3,1,2,1,1,1,1,2,2,2,2,1,2,1,1,3,2,1,2,2,1,5,1,5,4,4,4,3,4,-1,2,-1,3,4,1,5,4,4,3,3,1,3,2,3,1,2,3,3
1997,1,2,1,1,1,2,1,1,5,4,4,5,4,5,4,4,4,4,3,3,3,4,1,3,4,3,2,4,4,5,5,4,1,4,2,2,3,2,2,4,1,1,1,1,3,1,1,1,0
1998,3,1,4,1,2,4,3,-1,5,2,4,5,2,3,2,1,1,1,2,3,1,3,1,2,5,3,1,4,4,5,3,3,4,4,4,1,5,3,4,1,-1,3,4,4,1,1,3,3,3
1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,3,4,4,2,1,1,1,1,1,1,1,1,4,1,5,2,5,1,2,1,1,1,1,1,1,1,1,1
2000,1,2,1,1,1,2,1,1,2,2,2,4,2,3,2,2,1,2,4,2,5,2,4,4,4,4,2,5,1,4,4,4,4,2,4,2,4,1,3,4,4,1,1,2,4,2,3,3,4
2001,4,1,2,4,2,1,4,1,2,4,4,4,4,4,4,4,1,1,2,3,4,4,1,4,2,1,4,2,3,1,4,1,1,2,5,4,3,3,2,2,2,3,4,4,5,4,4,4,2
2002,4,1,4,2,5,4,5,3,5,2,3,3,5,4,1,3,4,3,3,2,1,2,3,5,4,5,4,4,5,3,2,5,4,3,5,4,5,5,4,4,4,1,2,3,2,4,4,5,5
2003,3,1,1,1,1,1,1,1,5,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,3,4,5,1,4,3,4,1,3,1,3,3,3,4,3,1,3,1,1,3
2004,1,1,1,1,1,1,1,1,5,5,5,1,5,5,5,4,3,5,5,1,5,4,5,4,5,5,4,1,4,4,4,3,1,3,1,3,1,4,1,4,1,3,1,1,1,1,1,1,0
2005,1,1,1,1,1,1,1,1,5,1,1,3,4,1,1,1,1,1,4,1,1,5,1,1,5,4,1,3,4,3,1,1,3,1,3,1,5,4,3,1,1,1,1,3,1,1,1,1,1
2006,1,1,1,1,2,2,2,2,4,4,4,3,3,3,3,2,3,4,5,5,4,4,3,3,3,4,4,2,4,2,3,2,3,2,3,2,3,3,4,2,1,1,2,2,3,2,2,1,0
2007,2,2,2,1,1,1,1,2,2,5,4,4,1,1,1,1,3,2,2,3,3,5,2,1,4,4,5,3,5,3,4,2,1,1,3,1,4,2,4,1,2,2,1,4,2,1,2,2,4
2008,3,3,5,4,2,4,2,3,4,4,4,4,4,4,4,5,2,2,4,2,2,2,3,4,2,1,2,5,2,2,4,1,4,1,4,1,5,2,2,4,4,2,2,1,5,2,4,3,2
2009,3,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,3,3,1,4,1,1,4,2,1,2,1,1,1,1,4,4,4,1,4,4,4,3,2,2,1,2,1,2,3,4,1
2010,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,1,5,5,5,2,2,5,2,1,4,2,2,5,5,5,5,4,1,1,2,2,4,1,4,1,1,4
2011,2,3,1,2,2,2,3,3,3,3,3,3,4,3,3,2,1,1,2,1,1,1,3,2,4,4,3,4,3,3,4,4,2,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3
2012,3,3,2,2,1,4,2,4,4,5,5,2,5,5,4,5,2,1,1,1,2,5,1,1,2,3,2,2,2,3,2,1,1,1,2,1,2,2,2,1,2,3,3,3,4,4,3,3,2
2013,1,1,1,2,1,1,2,1,5,5,5,1,3,4,2,3,1,2,4,2,2,2,2,2,4,2,5,4,5,3,3,4,3,4,3,4,4,4,4,4,2,1,3,3,2,2,3,1,3
2014,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,4,1,1,1
2015,3,3,3,4,3,4,3,3,5,4,4,3,3,3,3,3,1,3,3,2,2,2,2,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,4,2,3,2,3,3,3,4,3,2
2016,3,4,5,1,5,4,1,4,5,4,5,1,5,2,3,4,1,1,1,2,4,1,1,1,3,4,5,1,5,4,4,5,2,2,1,2,3,3,1,4,2,2,1,1,1,1,1,1,2
2017,2,2,2,2,2,1,2,2,4,4,4,3,3,4,4,3,2,3,3,2,4,2,2,2,4,3,4,2,4,2,2,3,3,3,4,3,4,3,3,3,3,3,2,3,2,2,2,2,3
2018,4,4,3,3,2,3,4,3,4,4,2,2,1,1,1,2,2,1,4,1,1,3,1,4,4,5,3,3,4,4,5,5,3,4,4,1,3,4,3,4,3,4,3,4,3,3,3,4,3
2019,4,4,1,4,2,4,1,3,4,4,1,3,2,4,2,4,3,3,4,5,5,4,2,4,4,4,2,4,2,2,4,3,2,1,2,1,4,1,1,2,3,4,4,4,3,3,1,3,2
2020,1,1,2,1,2,1,2,1,2,3,1,3,3,4,1,2,2,4,4,5,4,4,3,4,3,5,1,3,4,1,4,3,3,3,4,1,4,2,4,5,1,3,2,1,2,3,2,1,4
2021,1,1,1,3,2,4,3,2,4,4,1,2,4,5,4,3,4,5,2,5,4,5,3,3,4,3,2,5,5,1,5,4,1,1,2,5,5,4,1,4,1,1,2,2,2,4,2,2,0
2022,1,2,1,1,-1,3,1,1,2,5,5,3,5,5,3,3,2,3,4,2,5,3,1,1,4,4,3,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2023,1,1,1,2,1,1,1,1,4,2,2,1,2,4,2,4,4,1,4,3,3,2,1,4,4,4,1,1,1,1,3,1,3,2,4,1,3,2,4,3,1,1,2,1,4,4,1,1,1
2024,1,1,1,2,1,1,1,1,3,5,5,5,4,5,5,3,1,2,4,3,2,1,1,4,2,2,3,1,3,2,2,3,2,3,2,2,3,3,1,3,1,2,2,2,3,3,1,2,0
2025,1,1,1,1,1,1,1,1,2,4,1,1,1,4,1,3,1,4,4,3,3,2,3,5,3,4,4,3,4,5,3,4,3,4,5,3,5,5,2,5,2,2,2,2,2,2,2,2,4
2026,2,2,1,1,2,3,1,2,3,4,3,2,3,3,3,2,3,3,2,3,4,3,5,3,4,3,3,5,4,5,4,2,2,2,3,4,-1,3,3,2,2,3,2,3,3,2,2,2,4
2027,2,3,1,2,1,2,3,2,3,4,4,2,4,4,3,3,5,5,3,3,5,5,5,4,4,4,4,2,4,5,5,4,1,2,3,4,2,3,4,4,2,3,3,4,4,5,4,4,5
2028,5,3,4,4,3,4,3,4,2,2,3,3,2,2,2,4,3,3,3,4,4,4,4,4,3,3,2,2,2,1,2,2,2,2,3,3,4,3,2,2,2,3,2,2,3,4,2,3,2
2029,3,4,5,4,1,4,2,1,5,5,5,4,5,5,2,5,1,1,4,2,1,2,1,1,5,5,4,3,5,2,3,1,2,3,4,5,4,1,4,2,5,3,5,5,5,3,5,3,2
2030,4,4,5,4,3,4,2,4,4,4,4,4,4,4,4,4,1,1,4,2,4,3,5,2,1,1,1,3,1,1,1,1,4,1,3,1,3,1,2,3,1,1,1,1,1,2,1,1,2
2031,1,2,1,2,2,1,2,2,5,2,2,5,4,2,5,2,2,2,2,5,5,4,5,3,3,2,2,4,5,2,3,2,4,2,4,2,5,2,4,2,3,1,2,2,5,2,4,2,5
2032,1,1,1,1,1,1,1,1,5,4,4,4,5,4,3,3,1,1,1,1,4,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2033,4,1,1,4,2,2,2,1,4,5,5,4,5,5,5,5,3,2,2,5,3,5,3,2,4,5,2,2,5,2,1,3,2,3,2,2,2,1,2,1,3,3,3,2,4,3,2,1,0
2034,5,1,1,2,1,4,2,2,5,2,3,3,3,3,4,3,5,3,3,5,5,5,4,3,5,5,4,5,5,5,5,3,4,5,2,2,3,3,4,3,1,1,1,1,1,3,3,1,4
2035,2,1,1,2,2,2,1,2,4,5,5,4,5,5,5,3,4,3,4,5,5,5,2,5,4,2,5,3,5,3,4,3,2,3,3,4,3,5,3,5,1,1,2,2,2,2,1,1,0
2036,3,3,1,3,1,3,1,3,2,2,3,1,1,2,1,2,1,2,3,1,1,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1
2037,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,1,5,5,5,5,1,2,5,5,4,-1,1,5,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4
2038,3,1,1,1,1,1,1,1,2,1,3,2,3,1,1,1,2,3,3,1,4,2,3,3,4,4,2,1,4,3,4,2,1,1,4,1,4,2,1,2,4,4,4,4,4,3,4,4,3
2039,1,3,1,1,1,1,1,1,3,4,4,3,4,4,3,1,3,4,4,4,5,4,3,4,5,4,2,4,4,3,4,1,1,2,1,2,1,2,2,4,1,1,1,2,1,2,1,1,0
2040,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,4,2,4,1,1,3,3,1,1,3,4,4,3,2,3,4,1,4,4,2,4,4,1,4,4,3,2,3,1,3
2041,5,4,5,5,3,5,4,4,5,2,5,4,5,5,5,1,1,2,1,1,1,1,2,1,4,4,3,5,2,2,2,1,3,3,4,2,4,5,2,5,4,4,4,4,4,3,3,5,2
2042,1,1,1,1,1,1,1,1,2,4,3,1,1,3,1,1,4,5,5,5,5,5,4,5,3,4,4,1,4,3,4,3,1,3,4,3,2,3,2,5,1,4,1,1,1,2,1,1,4
2043,2,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,3,3,1,1,1,1,5,3,5,3,5,5,5,3,1,1,2,2,-1,2,1,1,4,5,3,4,4,4,1,4,3
2044,4,2,2,2,4,4,4,4,5,1,2,3,4,2,3,4,3,1,2,3,3,3,3,2,3,2,2,4,3,2,3,-1,1,1,2,1,4,1,2,2,1,2,2,3,2,3,2,2,2
2045,3,3,3,4,3,1,3,3,4,4,4,5,4,4,4,4,5,4,5,5,5,5,4,5,4,3,4,4,5,5,5,5,3,3,4,5,3,4,3,5,3,3,3,4,2,2,3,4,5
2046,3,2,2,4,2,2,2,2,4,4,3,3,4,2,4,4,2,4,4,5,4,5,2,3,2,3,2,4,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,3,5,2,2,2
2047,1,2,3,2,1,1,1,1,3,4,4,3,3,3,2,3,4,2,4,5,5,4,1,2,2,2,4,2,5,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,0
2048,4,4,1,2,2,3,2,3,4,5,5,4,5,4,4,5,2,2,3,4,2,2,4,2,3,4,4,4,4,3,4,3,2,2,-1,5,3,2,4,4,3,4,2,3,2,4,4,4,5
2049,3,3,1,3,1,3,3,1,4,4,3,4,4,4,3,3,1,4,5,2,5,4,5,4,2,4,4,2,4,3,1,3,3,3,3,4,2,3,1,3,1,3,4,2,2,2,1,3,0
2050,3,1,1,2,1,1,2,1,3,4,4,2,2,3,2,2,2,4,4,4,5,4,3,4,3,3,2,3,3,3,3,2,1,3,3,3,3,3,1,2,2,1,1,2,1,3,1,1,4
2051,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,3,1,1,1,1,1,1,1,1,4,3,4,3,3,1,3,3,3,1,1,1,3,1,3,1,3,1,3,1,1,5,2,1,1
2052,2,2,1,3,3,3,4,1,3,3,3,4,2,4,3,2,1,3,2,2,2,3,2,2,2,2,3,4,3,3,4,4,3,3,2,1,3,3,1,2,1,3,3,5,2,4,1,3,3
2053,5,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
2054,3,1,1,1,1,1,1,1,4,3,4,1,1,3,1,1,1,3,3,1,4,1,1,1,3,1,3,1,3,1,1,1,3,1,2,1,3,1,4,1,1,1,1,3,5,1,1,1,1
2055,3,3,4,2,2,3,1,2,5,4,3,3,2,3,1,1,3,5,2,2,2,3,1,3,5,5,1,3,5,3,3,2,1,3,1,2,1,2,2,2,1,1,1,1,1,1,1,1,4
2056,2,1,1,1,1,1,1,1,5,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,3,5,3,5,4,5,5,4,2,3,2,2,2,3,3,3,3,2,3,2,1,3,3,3,3
2057,5,3,1,5,1,2,3,4,5,2,2,4,3,2,2,4,5,2,3,3,3,5,2,4,5,2,3,5,3,3,3,5,5,2,3,2,2,3,3,3,3,3,5,5,3,3,3,3,5
2058,3,3,4,3,3,4,4,4,2,1,2,2,1,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,3,2,1,3,2,1,1,4,1,2,1
2059,5,2,3,5,2,2,4,2,2,3,3,4,2,3,4,5,1,2,4,2,3,3,3,4,5,2,2,3,3,4,3,2,3,3,2,3,3,4,1,5,2,4,4,3,5,5,4,3,2
2060,3,5,4,5,4,5,4,5,5,5,5,3,5,5,5,4,1,3,1,3,2,3,4,2,4,3,2,4,1,4,5,1,2,2,3,2,1,2,4,3,3,1,1,2,1,3,3,1,2
