,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,Strength
86,5,3,5,1,1,4,2,3,5,5,1,1,1,2,1,1,1,3,1,3,3,5,4,1,5,3,1,5,1,2,1,2,1,2,1,1,5,2,1,1,5,3,1,1,4,3,1,1,2
87,1,2,5,2,1,3,1,2,4,3,5,4,4,4,4,5,1,5,4,4,4,4,4,3,3,3,4,3,2,2,2,3,3,2,3,2,4,4,2,5,1,2,1,1,4,1,2,1,0
88,4,1,1,4,3,3,4,1,1,3,3,4,2,3,1,4,1,1,3,5,5,3,2,3,2,5,3,4,3,5,5,3,1,4,2,3,4,4,1,4,1,4,4,3,4,5,1,3,5
89,1,3,1,3,1,3,2,1,5,4,5,3,4,4,4,4,2,3,5,5,5,5,4,5,3,3,1,2,2,4,2,1,2,3,3,3,3,4,2,3,1,2,1,1,3,4,1,1,0
90,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,5,4,1,4,5,5,1,1,3,4,3,1,5,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
91,3,4,3,2,3,3,4,3,4,4,3,2,3,3,3,4,3,1,1,3,3,3,3,1,3,3,3,4,2,2,3,1,2,1,3,2,3,2,3,2,4,3,4,4,4,4,3,4,2
92,4,1,4,1,1,4,1,-1,4,4,4,5,4,4,4,4,1,4,2,4,4,2,5,4,4,4,4,4,4,2,2,2,2,1,4,5,5,4,2,2,2,1,2,2,1,3,2,2,0
93,3,4,1,1,1,4,1,4,5,4,5,5,5,4,4,4,4,4,5,5,4,4,1,4,5,5,-1,5,5,5,5,5,1,1,4,1,3,1,3,3,3,3,4,3,3,4,3,2,5
94,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,4,1,4,1,4,3,1,4,4,4,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1
95,1,1,1,4,1,1,1,1,5,2,2,4,4,1,4,2,1,2,1,2,5,1,5,1,2,2,1,1,1,1,1,1,3,2,5,1,5,5,5,5,4,1,2,2,4,1,5,3,3
96,1,4,2,1,3,4,3,3,4,5,5,1,5,4,3,2,3,3,2,4,5,4,4,2,5,4,3,1,4,4,4,2,3,3,2,5,3,3,2,3,1,2,1,1,2,1,2,2,0
97,3,1,1,2,1,2,2,1,3,3,2,3,2,2,2,2,1,3,2,2,2,3,2,3,5,4,5,3,5,4,4,4,2,3,4,2,4,3,3,4,3,3,4,3,3,3,3,3,3
98,2,2,1,1,1,2,1,1,2,3,4,1,1,5,1,4,1,3,5,3,4,4,4,5,2,2,1,3,2,4,4,1,1,2,4,4,3,4,3,3,1,1,1,1,1,2,1,1,4
99,4,3,3,4,4,3,3,3,2,2,2,4,3,3,3,4,1,2,3,4,2,4,3,3,1,4,4,3,3,2,2,3,2,3,3,3,3,2,2,2,3,3,4,4,4,4,3,4,2
100,4,4,1,1,1,3,1,3,5,4,4,5,4,3,4,3,3,2,3,2,1,4,1,2,4,4,4,5,5,1,4,4,1,1,2,1,2,1,1,3,3,1,1,2,3,3,3,1,0
101,2,2,1,1,1,1,2,1,2,4,4,1,4,4,2,1,4,5,4,5,5,5,5,4,4,5,4,2,5,4,5,2,2,5,2,4,3,5,4,3,2,3,2,2,3,4,2,4,4
102,5,1,2,1,2,1,1,1,3,3,3,2,3,2,3,1,2,4,4,3,3,1,3,3,1,-1,2,2,1,2,3,1,2,4,4,2,4,4,3,5,2,2,1,3,1,1,1,2,1
103,4,4,3,4,2,4,2,3,5,5,5,4,5,5,5,4,3,2,4,3,4,4,3,3,4,5,1,3,2,4,4,2,3,3,3,4,3,1,2,4,3,2,2,3,3,2,3,4,5
104,1,1,1,1,1,1,1,1,4,3,2,4,3,1,4,1,1,1,4,2,1,1,1,1,3,3,4,3,3,1,1,1,4,3,1,1,2,2,3,1,3,3,1,1,1,1,1,1,1
105,3,4,2,2,3,2,4,2,4,4,2,1,3,2,2,2,3,2,3,4,4,4,1,4,2,4,1,2,1,1,2,1,1,4,1,1,1,2,1,4,1,4,4,1,5,4,1,3,2
106,3,2,1,3,1,3,4,2,5,5,4,2,2,5,4,5,3,5,5,5,5,5,4,5,4,3,2,3,3,2,3,1,1,2,2,4,1,3,1,5,1,4,2,3,1,3,1,2,0
107,2,3,2,3,2,3,2,2,3,4,2,2,3,3,2,3,2,4,5,3,5,2,4,3,1,3,2,2,2,3,3,3,2,2,2,2,2,4,2,4,3,2,2,2,2,3,2,2,2
108,1,1,1,1,1,1,1,1,5,4,4,4,4,2,3,1,5,5,1,4,4,2,2,2,4,3,5,1,5,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
109,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,3,3,3,2,1,3,1
110,2,4,1,2,2,3,1,3,3,3,1,1,1,4,3,2,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,1,2,4,3,5,2,4,3,4,1,2,1,1,1,3,1,1,4
111,3,1,1,1,1,1,3,1,1,5,3,1,1,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,2,3,1,3,3,5,3,3,1,5,1,3,4
112,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,3,3,3,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,3,3,3,5,3,3,3,3,4,4,4,5,4,4,5,4,4,4,5,4,4,5,2,4,3,3,2,2,4,1,4,3,1,3,2,1,1,4,1,4,1,4,4,3,5,4,3,3,5
114,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,4,4,3,4,5,4,3,3,4,3,3,2,3,3,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4
115,3,4,2,2,2,4,2,3,3,4,5,2,2,3,3,2,1,1,1,2,2,2,1,2,5,4,2,2,2,2,4,2,2,2,3,2,4,3,2,3,4,2,2,4,2,4,3,3,3
116,3,3,1,3,-1,1,2,1,4,4,4,3,4,3,3,3,1,1,1,3,2,3,4,1,4,3,3,4,3,1,1,2,4,1,3,4,3,4,2,4,1,1,1,2,4,-1,1,1,0
117,1,2,1,2,1,1,1,1,3,3,1,2,1,3,1,3,4,4,4,4,2,5,4,4,4,5,5,4,5,2,5,5,1,3,3,3,2,4,1,2,1,1,2,2,2,2,2,1,4
118,1,1,1,1,1,3,1,3,3,3,3,3,1,3,1,2,1,2,3,4,4,4,3,2,4,3,3,3,4,3,3,2,2,2,2,1,2,3,3,2,1,1,2,1,1,2,2,1,4
119,3,1,2,1,2,2,2,1,4,2,2,1,2,5,2,3,3,5,5,1,3,3,1,3,3,5,3,2,1,2,2,2,3,1,4,2,4,2,1,1,4,3,4,2,4,2,1,1,3
120,3,4,3,2,2,3,3,3,3,2,2,5,2,2,2,1,3,4,4,4,5,5,2,4,4,3,1,3,2,2,3,2,4,1,4,1,3,2,4,4,1,2,1,1,2,1,1,1,4
121,1,3,2,4,1,4,3,3,3,2,4,4,3,3,3,4,1,4,5,3,4,2,4,5,5,1,2,4,4,3,3,1,1,1,5,1,4,2,5,3,1,1,4,2,3,3,3,2,2
122,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,2,4,1,3,4,2,2,1,1,3,2,3,3,1,1,2,1,2,2,1,2,1
123,1,1,1,1,1,1,1,2,4,3,2,4,2,2,3,2,4,3,5,4,3,5,2,4,4,5,5,3,3,4,4,3,3,5,3,4,2,5,5,4,1,1,1,1,1,2,2,2,4
124,3,3,1,2,4,1,1,1,5,5,5,5,5,4,4,4,1,5,3,5,5,4,5,4,4,4,1,2,4,1,1,2,1,1,4,1,5,1,3,-1,3,1,1,2,1,1,3,1,0
125,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,5,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,1,5,5,1,1,1
126,2,1,2,2,2,1,2,2,4,4,2,3,3,3,3,2,3,4,5,3,5,3,5,5,5,4,4,3,5,5,5,3,5,2,4,4,4,3,4,4,2,2,2,3,2,1,2,1,4
127,5,1,1,1,5,5,5,5,4,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,4,5,1,3,1,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
128,3,2,1,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,4,3,1,1,3,1,2,3,4,2,5,3,1,1,2,3,2,1,4,5,3,2,3,1,3,2,1,1,2,2,1
129,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,5,3,5,5,1,5,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4
130,1,1,1,1,1,1,1,1,5,2,3,5,5,1,4,1,4,4,3,5,5,4,5,1,4,4,5,4,5,3,4,2,1,1,3,4,5,3,3,1,3,1,3,4,4,1,3,1,4
131,2,3,3,4,3,2,4,3,4,3,4,5,4,5,4,4,1,2,4,3,3,3,4,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,4,4,1,1,3,1,4,4,1,1,2
132,2,5,2,5,1,5,1,2,2,5,5,4,5,5,5,4,4,2,2,5,5,5,3,2,2,5,3,3,3,2,4,1,1,4,3,1,2,1,1,4,1,2,2,1,4,5,1,1,0
133,1,1,1,1,1,1,1,1,5,5,4,4,4,5,4,3,2,2,4,4,4,2,4,4,3,4,3,3,3,4,4,4,2,3,1,2,1,2,3,2,1,1,2,1,1,2,1,1,0
134,1,3,1,2,1,3,1,2,5,5,5,4,5,5,4,3,4,4,3,4,4,5,3,5,3,3,2,4,3,3,3,3,2,1,3,3,2,4,2,3,1,1,1,1,1,3,1,1,0
