,R1,R4,R6,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S3,S4,S5,S6,S7,S8,E3,E5,E8,C5,Strength
1898,3,2,3,2,5,1,2,1,1,1,1,1,1,5,3,1,3,3,4,3,5,2,4,1,1,4,4,3,1,3,S
1899,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,4,5,4,3,5,3,3,3,4,5,5,5,5,I
1900,2,2,1,5,5,5,3,4,3,4,2,1,-1,1,2,5,2,1,3,5,5,4,5,4,5,4,4,4,4,5,S
1901,5,4,2,5,3,2,4,2,2,2,2,5,4,4,4,4,4,5,2,5,4,5,4,4,5,3,4,5,4,3,S
1902,3,1,1,5,3,3,1,1,4,1,1,3,5,3,4,5,4,3,5,2,1,4,3,1,2,2,1,2,2,1,A
1903,2,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,3,3,2,4,5,3,5,4,4,3,2,2,2,1,S
1904,1,1,1,2,2,2,1,1,2,1,1,4,3,4,4,5,4,1,3,1,2,3,3,2,4,1,2,1,2,1,A
1905,4,1,1,5,2,1,2,1,1,1,1,1,4,2,4,2,4,1,4,5,5,4,5,1,4,3,5,5,3,1,S
1906,1,1,2,2,4,3,1,2,4,2,2,2,1,2,4,3,4,3,1,2,3,3,3,3,4,3,1,2,2,3,S
1907,1,1,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,2,3,2,3,4,4,1,1,1,1,I
1908,3,2,-1,2,4,3,2,2,4,3,3,2,3,4,2,2,3,2,2,3,4,2,3,4,4,4,3,4,3,3,S
1909,3,1,2,3,3,3,1,2,3,2,1,3,4,4,4,4,3,3,4,4,3,2,4,4,3,4,4,1,3,1,A
1910,3,2,1,2,5,5,1,3,5,4,4,3,5,4,3,5,4,4,4,2,2,1,3,4,2,2,2,4,2,1,A
1911,3,1,1,5,3,2,4,3,2,2,1,1,5,4,3,5,1,5,4,4,3,4,4,3,3,4,5,5,4,4,C
1912,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,2,E
1913,3,1,1,4,3,1,1,1,2,1,1,1,1,4,1,2,1,3,3,3,4,4,4,3,4,1,3,3,1,1,S
1914,5,3,4,5,5,4,5,5,5,5,4,2,4,4,2,3,4,5,5,3,5,5,5,5,5,5,4,4,4,3,I
1915,1,1,1,2,4,1,1,1,1,1,1,5,5,1,5,5,5,3,4,5,5,3,5,1,2,3,2,1,3,1,A
1916,5,4,3,3,1,1,5,3,2,3,1,2,1,3,3,3,3,1,3,5,1,3,4,4,3,4,1,5,1,2,S
1917,1,1,1,3,3,1,1,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,I
1918,1,2,3,5,5,5,5,5,5,4,2,2,2,2,5,5,5,2,4,5,4,3,5,1,2,1,2,2,3,3,I
1919,2,2,2,3,3,2,2,2,3,2,3,4,5,4,4,5,4,4,4,3,4,3,4,4,4,4,3,2,4,3,A
1920,1,2,1,1,1,1,2,1,1,1,1,1,1,4,4,1,4,1,1,4,3,3,3,2,1,2,4,5,1,1,E
1921,3,4,1,4,3,3,3,4,3,4,3,1,1,1,1,2,1,1,1,3,4,1,4,3,1,1,1,4,1,4,I
1922,4,5,5,4,5,4,4,4,4,4,3,2,3,3,2,3,3,1,5,3,4,3,4,3,3,3,5,5,4,5,R
1923,1,1,1,3,2,2,4,4,1,3,2,4,4,5,4,4,4,2,5,5,5,4,5,4,4,5,2,1,1,2,S
1924,4,3,3,3,3,3,3,3,3,3,4,5,3,4,5,3,5,2,4,2,1,3,1,4,5,1,1,3,3,4,A
1925,2,4,5,5,1,3,3,3,2,3,3,4,4,4,4,4,4,3,3,3,2,3,1,4,5,1,3,3,3,3,A
1926,1,3,3,4,2,2,4,2,2,3,2,3,3,4,4,3,1,4,3,4,4,4,5,5,4,4,4,1,1,1,S
1927,1,1,3,5,4,5,5,5,5,5,2,4,5,2,1,2,5,5,5,4,4,2,4,5,2,4,3,2,5,4,I
1928,3,2,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,5,4,4,3,1,4,3,4,3,A
1929,3,2,3,4,3,3,4,1,4,-1,1,3,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,4,2,A
1930,1,1,2,1,1,1,1,1,2,1,1,4,3,3,4,3,5,3,4,4,3,4,4,4,4,4,3,2,2,2,S
1931,1,2,4,5,1,2,3,1,3,1,1,3,1,4,3,5,5,1,3,4,1,2,2,1,4,3,3,1,4,3,A
1932,1,4,4,5,4,4,5,4,4,4,4,2,2,3,4,4,4,4,2,1,2,2,2,1,1,1,4,3,2,4,I
1933,1,1,2,3,3,4,3,4,3,3,2,5,5,4,5,5,5,5,4,5,5,5,5,3,5,2,3,3,5,2,A
1934,1,1,1,4,4,4,1,4,4,1,3,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,I
1935,1,2,1,5,3,3,1,2,1,2,1,1,1,3,2,5,1,3,2,1,3,1,4,1,1,1,1,3,1,2,I
1936,1,1,1,4,1,1,5,4,1,1,1,4,4,5,3,4,5,3,5,1,3,2,3,3,4,4,2,2,4,1,A
1937,4,1,3,4,4,4,4,2,1,1,1,1,4,5,4,5,1,2,1,5,4,3,4,1,1,2,1,3,3,4,A
1938,2,2,2,4,4,3,3,3,3,3,2,3,4,3,3,3,2,2,3,4,3,2,3,3,3,2,2,4,2,2,I
1939,1,2,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,2,3,-1,4,4,2,3,2,2,4,2,3,I
1940,1,1,1,1,3,2,1,1,1,1,1,1,2,3,1,2,1,1,3,1,1,1,1,2,2,1,1,1,1,1,A
1941,3,1,1,3,2,2,1,2,1,3,1,2,2,3,2,2,3,3,3,4,4,5,4,4,4,4,3,1,2,1,S
1942,4,2,2,3,2,1,2,1,1,2,2,4,2,2,3,5,4,4,4,2,2,2,2,4,3,2,2,2,2,4,A
1943,3,3,3,4,5,4,2,2,4,3,4,3,5,5,5,4,5,4,5,4,1,4,2,2,4,4,4,5,4,4,A
1944,3,3,4,4,4,3,3,3,3,2,3,3,5,3,4,5,4,3,5,4,4,5,5,3,5,4,2,2,4,1,S
1945,2,4,1,3,4,4,1,2,3,3,4,3,3,3,1,1,3,5,1,2,1,2,1,1,2,1,1,1,1,4,I
1946,3,2,2,3,4,4,1,2,4,2,4,4,4,4,4,5,3,3,4,3,2,4,4,2,3,1,4,5,4,2,A
1947,1,2,1,5,2,5,5,2,3,4,5,3,4,5,5,5,4,5,5,5,1,4,3,4,5,4,4,1,4,2,A
1948,1,1,1,1,1,1,1,1,1,1,1,-1,1,5,1,1,4,1,4,4,1,1,4,4,4,1,1,1,1,1,S
1949,3,1,2,3,4,4,3,2,2,1,1,1,3,3,1,1,1,4,1,4,4,5,5,5,4,5,3,2,3,1,S
1950,1,2,2,4,4,3,4,2,3,3,1,2,3,2,3,5,4,2,1,1,4,2,2,4,4,2,3,3,2,4,I
1951,2,2,2,2,2,2,2,2,2,2,4,4,4,2,4,4,4,2,2,4,3,4,3,4,3,2,4,4,2,2,A
1952,2,3,3,4,4,5,4,5,5,5,4,4,4,5,4,5,5,4,4,2,4,3,4,4,4,3,3,3,4,2,I
1953,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,3,1,2,4,4,2,I
1954,3,1,2,4,2,2,1,1,1,1,4,1,1,5,1,1,2,4,3,3,2,4,1,1,2,2,1,3,2,2,S
1955,1,1,1,4,1,1,4,4,5,3,3,1,2,1,1,2,3,3,1,3,3,3,4,3,3,3,3,4,1,2,S
1956,2,3,4,4,3,2,3,3,3,3,2,4,4,3,3,3,4,4,4,-1,1,4,3,3,4,1,4,4,2,1,A
1957,1,1,1,1,3,3,1,1,2,1,2,4,5,4,4,5,4,2,5,3,4,3,4,4,4,4,3,3,5,1,A
1958,4,1,1,5,4,5,5,4,2,4,1,2,5,5,5,5,4,4,5,2,5,5,5,4,5,5,1,1,2,1,A
1959,1,5,1,1,1,1,5,1,1,1,5,1,4,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,S
1960,2,1,2,4,5,4,3,3,5,4,3,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,2,4,3,2,I
1961,2,3,3,4,4,3,4,4,4,3,2,3,3,5,4,5,5,2,3,4,5,3,5,5,4,4,3,2,4,3,S
1962,1,1,1,5,5,1,1,3,1,3,5,1,1,5,1,3,5,1,1,5,1,5,1,1,1,1,1,3,1,4,I
1963,1,1,1,4,4,1,2,3,4,4,1,1,1,1,1,1,1,1,1,3,4,1,4,1,1,3,1,1,1,1,I
1964,5,4,2,4,1,1,3,1,1,2,3,4,1,3,3,1,5,4,2,3,2,5,2,3,3,2,2,2,3,4,C
1965,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,A
1966,3,3,3,4,3,4,4,3,4,4,4,1,1,1,1,1,2,1,1,2,3,4,2,2,2,2,1,1,2,4,I
1967,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,3,4,2,4,4,4,4,3,5,4,2,E
1968,1,1,1,4,4,4,4,4,4,1,3,4,4,4,4,5,5,1,4,5,4,3,4,4,5,4,1,3,2,1,S
1969,3,1,2,3,2,4,4,4,4,3,4,1,1,3,3,3,3,5,3,3,1,2,1,1,3,1,1,4,1,3,I
1970,2,3,3,5,4,3,3,4,4,4,4,3,3,5,3,4,3,2,5,2,1,1,1,2,2,2,2,3,3,1,I
1971,1,1,1,4,4,3,3,2,4,2,4,3,4,3,4,4,4,1,3,4,3,2,4,1,2,4,3,5,4,2,E
1972,1,1,3,5,4,5,3,4,5,3,4,5,4,4,5,5,5,3,4,4,5,3,5,4,5,3,1,1,2,1,A
1973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,1,1,1,1,1,S
1974,2,1,3,4,2,2,2,3,2,1,2,1,3,5,4,5,3,3,4,1,3,3,3,4,2,2,3,3,3,1,A
1975,1,1,2,4,5,2,1,4,2,2,4,1,5,4,3,5,1,1,4,5,4,3,5,4,5,4,5,5,5,4,S
1976,1,1,2,1,4,3,1,3,4,1,3,3,2,3,2,2,4,1,2,4,4,2,4,4,4,3,4,2,4,2,S
1977,3,2,2,5,3,4,5,5,3,3,4,4,1,5,5,4,5,1,5,3,2,5,4,2,5,1,2,1,1,3,I
1978,3,3,4,5,4,4,5,5,5,5,5,3,3,5,5,4,4,5,4,4,5,-1,5,4,5,5,3,4,4,4,I
1979,3,4,5,5,4,3,4,3,3,3,3,2,2,3,3,4,4,4,4,3,4,4,3,4,4,4,3,1,3,1,S
1980,1,1,4,5,1,1,2,3,3,2,3,1,4,1,1,5,4,4,3,5,1,4,3,2,4,1,2,5,3,1,E
1981,1,1,1,2,4,3,1,2,2,3,4,1,4,4,1,1,2,3,4,1,2,1,1,2,4,4,1,1,5,1,C
1982,1,1,1,2,3,2,1,2,2,2,1,1,2,2,4,4,3,2,3,4,4,2,4,3,3,1,2,2,2,2,S
1983,3,3,1,5,3,4,4,3,4,3,4,1,3,3,3,3,3,3,3,1,3,2,4,2,2,2,2,2,2,3,I
1984,4,1,4,2,2,1,1,1,1,1,3,1,1,3,1,1,2,1,2,4,1,3,3,3,4,4,2,1,1,4,C
1985,2,3,2,5,4,4,5,4,4,4,4,4,2,2,2,3,4,2,3,2,2,1,2,2,3,2,4,2,4,2,I
1986,3,4,3,3,4,5,5,5,4,5,4,4,5,3,5,5,5,3,3,3,5,3,4,3,5,2,3,4,3,3,I
1987,3,1,2,2,4,4,4,3,3,2,1,4,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,3,1,A
1988,3,2,3,4,4,4,4,3,5,4,3,2,5,2,3,4,3,3,5,2,2,3,4,2,2,2,4,3,2,1,I
1989,1,5,1,3,1,1,1,1,1,1,1,3,3,-1,2,4,2,1,1,5,4,1,5,4,2,4,4,4,4,-1,S
1990,1,3,1,5,5,5,1,5,4,5,4,5,2,5,5,5,5,1,1,5,3,1,3,1,1,1,1,1,1,1,I
1991,4,4,4,4,3,3,4,3,3,2,3,3,3,2,3,5,4,3,3,5,5,5,4,4,4,5,4,4,4,3,S
1992,4,4,4,2,4,4,3,4,2,3,3,2,1,4,3,4,3,2,3,2,1,2,1,2,2,2,1,5,4,4,R
1993,2,4,4,3,3,4,4,3,3,3,2,4,2,4,5,5,5,2,4,5,4,4,5,4,3,3,4,4,2,2,S
1994,3,2,2,4,5,5,5,5,1,4,1,1,4,5,4,4,2,1,2,5,5,5,5,2,4,3,5,4,1,5,S
1995,4,5,4,5,5,2,3,5,5,5,5,3,3,5,4,-1,5,5,5,4,1,5,4,2,5,5,5,1,2,1,I
1996,2,2,1,2,2,2,2,1,2,1,1,3,2,1,2,2,1,5,1,5,4,4,3,4,-1,2,4,5,3,3,S
1997,1,1,2,5,4,4,5,4,5,4,4,4,4,3,3,3,4,1,3,4,2,4,4,5,5,4,2,3,4,3,I
1998,3,1,4,5,2,4,5,2,3,2,1,1,1,2,3,1,3,1,2,5,1,4,4,5,3,3,4,5,1,1,S
1999,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,3,4,4,2,1,1,1,1,1,1,1,2,2,1,A
2000,1,1,2,2,2,2,4,2,3,2,2,1,2,4,2,5,2,4,4,4,2,5,1,4,4,4,4,4,4,4,S
2001,4,4,1,2,4,4,4,4,4,4,4,1,1,2,3,4,4,1,4,2,4,2,3,1,4,1,5,3,2,5,I
2002,4,2,4,5,2,3,3,5,4,1,3,4,3,3,2,1,2,3,5,4,4,4,5,3,2,5,5,5,4,2,E
2003,3,1,1,5,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,5,3,1,3,1,S
2004,1,1,1,5,5,5,1,5,5,5,4,3,5,5,1,5,4,5,4,5,4,1,4,4,4,3,1,1,4,1,I
2005,1,1,1,5,1,1,3,4,1,1,1,1,1,4,1,1,5,1,1,5,1,3,4,3,1,1,3,5,1,1,S
2006,1,1,2,4,4,4,3,3,3,3,2,3,4,5,5,4,4,3,3,3,4,2,4,2,3,2,3,3,2,3,A
2007,2,1,1,2,5,4,4,1,1,1,1,3,2,2,3,3,5,2,1,4,5,3,5,3,4,2,3,4,1,2,S
2008,3,4,4,4,4,4,4,4,4,4,5,2,2,4,2,2,2,3,4,2,2,5,2,2,4,1,4,5,4,5,I
2009,3,1,1,3,1,1,2,1,1,1,1,1,1,3,3,1,4,1,1,4,1,2,1,1,1,1,4,4,3,1,E
2010,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,1,5,5,2,2,5,2,1,4,5,5,1,1,A
2011,2,2,2,3,3,3,3,4,3,3,2,1,1,2,1,1,1,3,2,4,3,4,3,3,4,4,4,4,4,4,C
2012,3,2,4,4,5,5,2,5,5,4,5,2,1,1,1,2,5,1,1,2,2,2,2,3,2,1,2,2,1,4,I
2013,1,2,1,5,5,5,1,3,4,2,3,1,2,4,2,2,2,2,2,4,5,4,5,3,3,4,3,4,4,2,S
2014,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,C
2015,3,4,4,5,4,4,3,3,3,3,3,1,3,3,2,2,2,2,3,3,4,3,3,2,3,3,3,3,4,3,I
2016,3,1,4,5,4,5,1,5,2,3,4,1,1,1,2,4,1,1,1,3,5,1,5,4,4,5,1,3,4,1,S
2017,2,2,1,4,4,4,3,3,4,4,3,2,3,3,2,4,2,2,2,4,4,2,4,2,2,3,4,4,3,2,I
2018,4,3,3,4,4,2,2,1,1,1,2,2,1,4,1,1,3,1,4,4,3,3,4,4,5,5,4,3,4,3,S
2019,4,4,4,4,4,1,3,2,4,2,4,3,3,4,5,5,4,2,4,4,2,4,2,2,4,3,2,4,2,3,A
2020,1,1,1,2,3,1,3,3,4,1,2,2,4,4,5,4,4,3,4,3,1,3,4,1,4,3,4,4,5,2,A
2021,1,3,4,4,4,1,2,4,5,4,3,4,5,2,5,4,5,3,3,4,2,5,5,1,5,4,2,5,4,2,A
2022,1,1,3,2,5,5,3,5,5,3,3,2,3,4,2,5,3,1,1,4,3,3,4,3,3,3,1,1,1,1,I
2023,1,2,1,4,2,2,1,2,4,2,4,4,1,4,3,3,2,1,4,4,1,1,1,1,3,1,4,3,3,4,A
2024,1,2,1,3,5,5,5,4,5,5,3,1,2,4,3,2,1,1,4,2,3,1,3,2,2,3,2,3,3,3,I
2025,1,1,1,2,4,1,1,1,4,1,3,1,4,4,3,3,2,3,5,3,4,3,4,5,3,4,5,5,5,2,E
2026,2,1,3,3,4,3,2,3,3,3,2,3,3,2,3,4,3,5,3,4,3,5,4,5,4,2,3,-1,2,3,S
2027,2,2,2,3,4,4,2,4,4,3,3,5,5,3,3,5,5,5,4,4,4,2,4,5,5,4,3,2,4,4,A
2028,5,4,4,2,2,3,3,2,2,2,4,3,3,3,4,4,4,4,4,3,2,2,2,1,2,2,3,4,2,3,R
2029,3,4,4,5,5,5,4,5,5,2,5,1,1,4,2,1,2,1,1,5,4,3,5,2,3,1,4,4,2,5,I
2030,4,4,4,4,4,4,4,4,4,4,4,1,1,4,2,4,3,5,2,1,1,3,1,1,1,1,3,3,3,1,I
2031,1,2,1,5,2,2,5,4,2,5,2,2,2,2,5,5,4,5,3,3,2,4,5,2,3,2,4,5,2,5,A
2032,1,1,1,5,4,4,4,5,4,3,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,I
2033,4,4,2,4,5,5,4,5,5,5,5,3,2,2,5,3,5,3,2,4,2,2,5,2,1,3,2,2,1,4,I
2034,5,2,4,5,2,3,3,3,3,4,3,5,3,3,5,5,5,4,3,5,4,5,5,5,5,3,2,3,3,1,S
2035,2,2,2,4,5,5,4,5,5,5,3,4,3,4,5,5,5,2,5,4,5,3,5,3,4,3,3,3,5,2,I
2036,3,3,3,2,2,3,1,1,2,1,2,1,2,3,1,1,2,2,2,2,3,3,3,3,3,3,2,2,2,1,S
2037,5,1,1,2,1,1,1,1,1,1,1,5,5,1,5,5,5,5,1,2,5,4,-1,1,5,1,1,1,1,1,A
2038,3,1,1,2,1,3,2,3,1,1,1,2,3,3,1,4,2,3,3,4,2,1,4,3,4,2,4,4,2,4,C
2039,1,1,1,3,4,4,3,4,4,3,1,3,4,4,4,5,4,3,4,5,2,4,4,3,4,1,1,1,4,1,A
2040,1,1,1,2,3,1,1,1,1,1,1,2,1,2,4,2,4,1,1,3,1,1,3,4,4,3,4,4,4,3,E
2041,5,5,5,5,2,5,4,5,5,5,1,1,2,1,1,1,1,2,1,4,3,5,2,2,2,1,4,4,5,4,R
2042,1,1,1,2,4,3,1,1,3,1,1,4,5,5,5,5,5,4,5,3,4,1,4,3,4,3,4,2,5,1,A
2043,2,1,1,3,5,1,1,1,1,1,1,1,1,3,3,1,1,1,1,5,5,3,5,5,5,3,2,-1,1,4,S
2044,4,2,4,5,1,2,3,4,2,3,4,3,1,2,3,3,3,3,2,3,2,4,3,2,3,-1,2,4,2,2,R
2045,3,4,1,4,4,4,5,4,4,4,4,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4,3,5,2,A
2046,3,4,2,4,4,3,3,4,2,4,4,2,4,4,5,4,5,2,3,2,2,4,2,2,3,2,2,3,2,3,A
2047,1,2,1,3,4,4,3,3,3,2,3,4,2,4,5,5,4,1,2,2,4,2,5,1,1,1,2,1,1,1,A
2048,4,2,3,4,5,5,4,5,4,4,5,2,2,3,4,2,2,4,2,3,4,4,4,3,4,3,-1,3,4,2,I
2049,3,3,3,4,4,3,4,4,4,3,3,1,4,5,2,5,4,5,4,2,4,2,4,3,1,3,3,2,3,2,A
2050,3,2,1,3,4,4,2,2,3,2,2,2,4,4,4,5,4,3,4,3,2,3,3,3,3,2,3,3,2,1,A
2051,1,1,1,1,3,3,1,1,3,1,3,1,1,1,1,1,1,1,1,4,4,3,3,1,3,3,1,3,1,1,S
2052,2,3,3,3,3,3,4,2,4,3,2,1,3,2,2,2,3,2,2,2,3,4,3,3,4,4,2,3,2,2,S
2053,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,R
2054,3,1,1,4,3,4,1,1,3,1,1,1,3,3,1,4,1,1,1,3,3,1,3,1,1,1,2,3,1,5,I
2055,3,2,3,5,4,3,3,2,3,1,1,3,5,2,2,2,3,1,3,5,1,3,5,3,3,2,1,1,2,1,S
2056,2,1,1,5,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,5,4,5,5,4,2,2,3,1,S
2057,5,5,2,5,2,2,4,3,2,2,4,5,2,3,3,3,5,2,4,5,3,5,3,3,3,5,3,2,3,3,S
2058,3,3,4,2,1,2,2,1,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,3,2,2,1,R
2059,5,5,2,2,3,3,4,2,3,4,5,1,2,4,2,3,3,3,4,5,2,3,3,4,3,2,2,3,5,5,C
2060,3,5,5,5,5,5,3,5,5,5,4,1,3,1,3,2,3,4,2,4,2,4,1,4,5,1,3,1,3,1,I
2061,3,4,4,4,4,3,4,4,3,4,4,5,2,2,4,3,5,4,2,4,3,3,3,3,3,3,3,3,3,4,I
2062,1,1,1,4,5,1,1,2,1,1,1,4,5,4,3,5,4,1,3,2,3,1,3,4,3,1,1,1,1,1,A
2063,3,1,2,4,4,4,4,3,4,3,2,5,5,5,5,5,5,5,5,4,5,5,4,5,3,3,5,5,4,1,A
2064,1,1,1,5,4,4,4,3,1,3,2,5,2,1,2,2,5,1,1,4,5,3,5,5,4,5,1,1,3,2,S
2065,1,1,1,4,4,5,4,4,5,4,5,5,5,5,4,5,5,2,5,4,3,1,3,2,3,3,1,2,3,1,A
2066,3,3,2,4,3,3,1,2,3,2,2,4,2,5,2,2,1,2,4,3,4,1,3,5,3,3,3,3,4,2,E
2067,1,1,1,3,4,3,5,1,1,1,1,1,1,5,3,5,1,1,5,3,5,5,5,1,3,3,3,4,4,1,S
2068,3,2,3,5,3,4,4,4,4,5,4,3,5,5,5,5,3,5,5,3,2,3,4,2,4,4,3,2,4,3,A
2069,4,2,4,2,3,2,1,1,2,1,4,1,1,1,4,4,3,5,3,1,1,1,1,1,1,1,5,5,1,1,R
2070,1,1,2,4,3,2,3,3,3,3,3,4,4,4,5,4,5,3,4,3,3,2,4,5,5,3,1,1,3,1,A
2071,3,4,3,5,5,5,4,5,5,5,5,3,3,5,4,5,5,3,3,2,4,4,5,4,2,3,4,5,4,5,I
2072,3,2,1,5,5,4,4,3,3,3,1,2,3,5,3,4,3,1,4,4,5,1,4,2,2,4,2,2,2,1,I
2073,3,2,3,5,5,5,2,2,3,2,4,3,5,5,5,5,4,4,5,5,4,5,5,3,4,4,3,4,5,3,A
2074,2,3,2,1,4,2,2,3,3,1,2,1,5,3,4,5,3,1,4,5,4,3,5,2,3,2,2,2,3,3,S
2075,4,4,4,3,2,2,4,4,2,3,2,4,3,3,-1,2,5,5,-1,2,4,3,3,3,2,2,2,3,4,2,R
2076,3,2,1,5,4,4,5,4,3,3,2,2,1,4,3,1,5,1,4,3,5,3,5,4,3,4,3,2,3,2,S
2077,4,5,2,3,4,3,4,3,2,2,4,1,1,1,1,1,1,1,1,2,2,4,2,2,2,3,2,2,1,3,R
2078,1,5,2,4,2,3,1,2,3,4,2,5,-1,2,4,2,5,4,4,5,2,2,3,5,3,4,-1,4,2,4,C
2079,3,3,4,2,2,2,4,3,2,2,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,3,2,A
2080,2,2,1,5,3,4,5,4,1,5,1,5,2,-1,5,5,5,2,1,2,4,1,5,2,2,1,5,1,1,3,I
2081,5,4,4,4,2,3,4,3,2,2,2,1,1,1,1,1,1,4,2,3,4,4,4,2,3,2,4,5,2,3,R
2082,1,1,1,5,5,5,1,5,5,5,5,3,4,4,4,3,5,1,4,2,2,2,2,3,4,2,1,4,4,4,I
2083,1,2,3,1,2,1,3,2,2,1,2,4,5,4,5,5,5,4,5,4,2,1,3,1,3,2,2,2,2,3,A
2084,1,3,4,5,3,3,5,3,5,4,3,5,5,5,1,1,3,3,4,3,5,5,5,5,4,3,5,5,3,3,S
2085,4,3,1,1,5,4,3,3,4,1,3,5,5,4,5,5,5,4,5,1,3,5,5,5,5,5,1,3,5,1,A
2086,2,5,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,2,3,2,1,1,1,2,2,2,4,3,4,3,C
2087,4,5,5,5,2,2,5,4,4,3,5,1,2,5,2,2,3,5,3,4,5,3,5,4,4,3,4,5,4,5,C
2088,2,2,2,4,4,3,4,4,2,3,2,3,4,4,4,5,4,3,2,4,4,3,4,5,4,3,3,3,4,3,S
2089,1,1,2,4,4,4,4,3,3,1,4,2,4,5,5,4,5,2,4,5,4,4,3,5,4,2,2,5,1,3,S
2090,3,1,1,4,4,3,1,2,3,2,2,3,4,4,2,4,3,5,3,2,4,1,2,3,3,4,4,3,4,1,A
2091,2,1,1,3,4,3,2,2,2,2,2,2,3,2,4,5,2,2,2,4,4,4,4,3,3,3,4,3,3,2,S
2092,1,1,3,5,5,5,5,5,4,4,4,5,2,2,5,3,5,4,2,1,1,2,1,1,1,1,1,1,1,1,I
2093,5,1,1,1,1,1,2,1,1,1,1,3,4,4,4,2,3,3,4,4,2,3,3,4,4,2,2,4,3,1,E
2094,2,2,2,4,4,4,2,3,3,3,2,3,5,4,2,3,3,2,5,5,3,2,4,3,2,4,3,4,2,2,A
2095,1,1,1,2,1,1,1,1,1,1,1,3,5,5,3,5,4,2,5,3,3,2,3,5,4,4,3,1,4,1,A
2096,2,2,2,4,3,4,4,3,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,3,3,5,3,3,A
2097,3,1,4,4,4,4,4,3,3,3,2,2,2,3,1,3,2,1,3,4,4,2,5,3,2,3,4,5,4,4,I
2098,1,2,2,4,3,2,2,1,3,1,2,1,1,3,1,1,1,1,2,3,4,3,5,5,5,4,3,2,4,1,S
2099,2,4,5,5,5,4,5,5,5,3,5,1,5,5,4,5,4,4,5,5,2,4,4,4,4,3,4,5,4,4,I
2100,4,4,4,4,5,5,2,4,4,4,4,2,3,2,4,5,5,4,4,2,1,2,2,3,4,1,2,1,3,2,I
2101,3,3,2,4,3,2,3,1,3,1,2,1,2,5,3,1,3,4,4,1,4,4,4,4,3,4,4,2,2,1,S
2102,2,1,1,4,4,4,5,4,4,-1,1,1,1,3,5,3,3,1,1,3,4,3,5,4,4,3,1,1,3,1,S
2103,1,1,1,2,3,3,1,1,4,2,1,3,2,3,3,1,4,4,2,3,2,2,4,5,4,1,2,1,3,1,S
2104,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,4,1,1,1,1,1,5,4,1,5,C
2105,3,1,1,4,4,3,3,3,3,4,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,C
2106,2,4,1,1,4,3,4,1,1,4,1,3,3,4,4,1,4,2,5,4,4,4,2,4,2,3,4,4,3,4,E
2107,2,2,3,4,5,4,4,4,5,4,4,1,1,5,2,3,3,4,4,3,3,3,3,2,2,3,3,2,2,2,I
2108,5,4,5,4,3,4,3,4,3,3,5,3,4,2,4,1,4,5,5,5,1,5,1,2,4,3,1,1,3,5,R
2109,4,4,4,5,4,4,4,5,4,5,4,4,5,4,4,4,4,2,4,1,3,2,2,2,4,3,2,1,4,4,I
2110,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,3,2,2,1,1,S
