,R1,R4,R6,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S3,S4,S5,S6,S7,S8,E3,E5,E8,C5,Strength
48,1,3,3,2,3,3,4,3,3,3,3,5,5,4,5,5,5,5,3,5,5,3,5,3,3,3,5,5,3,5,A
49,4,2,4,3,4,3,2,2,2,2,2,2,3,3,3,4,2,4,4,3,3,4,2,3,2,4,3,4,4,4,R
50,3,2,2,5,2,2,2,2,2,2,2,3,5,5,3,5,3,2,4,5,3,3,3,3,2,2,3,4,4,1,E
51,1,2,1,1,5,4,3,2,4,4,5,3,5,3,4,5,4,1,4,3,1,1,2,3,3,4,4,1,2,5,A
52,1,1,4,4,4,2,2,2,3,2,3,2,5,3,4,4,4,3,4,4,5,4,5,3,3,4,4,3,3,3,S
53,3,3,2,3,4,4,2,2,2,2,2,1,1,4,4,1,2,3,3,4,2,4,4,3,2,1,4,4,2,2,E
54,2,1,2,4,5,2,3,2,3,3,2,3,2,4,4,4,3,4,3,5,4,4,3,4,4,1,3,3,1,3,S
55,2,3,2,3,3,3,3,3,2,3,3,4,3,4,3,4,3,3,4,3,2,4,1,3,3,2,4,4,3,4,A
56,4,2,4,3,4,4,3,3,4,3,3,4,4,4,5,4,5,5,4,5,4,4,5,4,4,4,3,2,4,2,A
57,1,1,3,5,5,4,1,2,4,1,1,1,3,3,2,2,3,3,2,3,4,5,5,2,4,4,1,1,1,1,S
58,1,1,2,1,4,5,1,1,4,1,5,3,4,5,4,5,5,1,3,5,3,1,3,2,3,2,4,5,4,2,A
59,4,2,1,2,2,2,1,2,1,2,2,1,2,5,1,4,1,1,4,3,3,1,4,1,1,1,2,1,1,4,C
60,3,3,2,4,4,4,3,4,4,4,3,4,5,5,5,5,5,5,5,3,3,4,3,4,4,4,3,3,3,2,A
61,1,2,3,2,4,2,2,1,2,1,2,3,4,5,3,5,5,4,4,2,2,3,3,4,4,2,2,3,4,4,A
62,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,3,2,4,4,2,4,5,4,4,3,3,4,-1,2,S
63,5,3,2,3,2,1,4,1,1,1,1,1,1,1,1,1,1,4,1,2,2,3,1,1,1,1,5,4,1,2,E
64,1,1,2,1,3,2,1,2,3,2,2,3,4,4,2,2,3,1,4,4,5,4,5,5,5,4,3,4,3,3,S
65,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,S
66,2,2,4,2,4,2,4,3,2,1,1,4,5,2,4,2,4,4,4,4,3,5,4,5,4,2,5,4,4,3,S
67,5,2,1,4,4,4,4,3,3,3,3,4,3,3,2,1,3,1,3,5,1,4,3,2,2,2,3,3,2,3,I
68,4,1,1,5,5,5,3,5,5,4,4,1,3,5,4,5,3,3,3,4,5,4,5,5,5,5,5,5,4,3,S
69,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,5,5,5,3,4,3,2,1,S
70,4,4,5,5,5,5,5,4,4,4,3,1,1,1,1,1,2,2,1,3,4,5,4,3,5,3,3,3,4,5,I
71,3,3,3,1,4,1,1,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,C
72,1,3,2,5,2,3,3,4,3,4,3,5,4,1,3,3,4,1,1,5,3,2,4,1,5,3,3,2,5,1,S
73,1,1,2,1,3,1,3,2,2,1,1,5,5,3,3,2,5,-1,5,5,1,2,1,2,2,1,5,2,1,1,A
74,1,1,1,5,1,1,5,4,2,4,1,4,5,4,4,5,5,4,4,4,2,3,2,4,4,1,1,2,5,1,A
75,1,1,4,5,5,5,4,5,5,5,3,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,4,I
76,1,3,4,3,2,2,4,3,5,4,4,1,1,4,4,3,3,1,3,4,1,1,1,1,1,1,2,4,3,4,I
77,5,2,4,5,5,5,2,5,5,3,4,1,2,5,3,2,2,5,5,1,4,5,5,3,4,5,2,3,3,2,I
78,1,3,1,1,3,3,3,3,3,3,3,3,3,3,5,3,5,1,3,3,1,1,1,1,3,1,1,3,1,3,A
79,4,4,4,2,3,1,2,1,1,1,2,1,3,4,3,4,2,3,4,5,1,4,3,1,3,1,4,5,4,2,E
80,1,5,2,4,4,4,5,1,4,1,4,4,3,3,5,4,5,4,4,5,5,4,5,2,3,3,3,2,4,2,A
81,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,C
82,3,4,4,5,5,5,4,5,5,3,5,4,4,2,5,5,5,3,4,4,3,4,4,4,4,3,2,2,3,5,I
83,1,1,1,3,4,4,5,3,4,3,4,4,5,4,5,5,5,4,5,3,2,3,3,3,3,3,1,1,3,1,A
84,1,1,1,4,1,1,2,2,1,2,1,4,4,4,3,4,5,2,2,4,2,3,1,1,3,3,4,4,3,1,A
85,3,4,2,3,3,3,2,3,3,3,4,3,5,3,2,5,3,1,3,1,2,1,2,1,2,1,2,4,1,1,A
86,5,1,4,5,5,1,1,1,2,1,1,1,3,1,3,3,5,4,1,5,1,5,1,2,1,2,1,5,1,4,R
87,1,2,3,4,3,5,4,4,4,4,5,1,5,4,4,4,4,4,3,3,4,3,2,2,2,3,3,4,5,4,I
88,4,4,3,1,3,3,4,2,3,1,4,1,1,3,5,5,3,2,3,2,3,4,3,5,5,3,2,4,4,4,S
89,1,3,3,5,4,5,3,4,4,4,4,2,3,5,5,5,5,4,5,3,1,2,2,4,2,1,3,3,3,3,A
