,implementation,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,accuracy,elapse,country,fromsearch,gender,age,Strength
6,2,1,1,1,1,1,1,1,1,2,3,3,1,2,3,2,2,5,5,5,5,5,5,5,5,5,4,3,3,4,3,5,3,2,2,1,2,2,2,2,5,1,1,1,1,1,1,1,1,90,569,US,1,-1,-1,A
12,2,3,4,1,4,1,4,4,2,2,4,1,4,1,5,2,2,3,3,4,4,-1,3,1,2,5,3,2,5,4,3,4,2,1,3,1,2,4,3,2,5,1,1,4,3,4,4,2,2,100,290,US,0,-1,-1,S
16,2,1,1,2,2,1,1,2,1,1,1,4,2,2,4,4,3,3,2,4,3,4,5,3,4,3,3,1,3,3,3,3,2,3,3,2,3,3,3,3,2,2,2,2,2,1,2,2,1,93,2765,US,1,-1,-1,A
23,2,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,3,4,5,5,1,4,2,2,4,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,99,123,GB,0,-1,-1,A
24,2,5,1,3,1,-1,2,3,1,5,5,4,5,4,3,3,2,2,5,1,3,3,2,4,2,4,4,5,5,5,2,2,3,1,1,1,2,2,2,3,2,1,1,1,3,1,1,1,2,90,211,NO,0,-1,-1,I
34,2,1,1,4,1,2,1,1,1,1,1,1,1,2,1,1,1,3,5,4,2,5,1,5,5,5,3,1,4,4,4,4,2,5,5,5,-1,5,5,1,5,1,5,1,2,3,1,2,1,100,130,PH,1,-1,-1,A
39,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,4,1,5,3,1,3,5,3,5,5,5,5,5,3,95,143,US,1,-1,-1,C
52,2,1,3,1,1,1,4,1,4,4,4,2,2,2,3,2,3,2,5,3,4,4,4,3,4,4,3,5,4,5,3,3,4,1,4,4,3,3,2,2,3,3,4,2,2,3,4,1,1,75,211,US,0,-1,-1,S
53,2,3,1,3,3,3,2,2,2,3,4,4,2,2,2,2,2,1,1,4,4,1,2,3,3,4,4,2,4,4,3,2,1,4,2,4,3,4,3,4,2,3,3,3,3,2,2,2,2,95,170,US,1,-1,-1,E
59,2,4,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,5,1,4,1,1,4,3,2,3,1,4,1,1,1,1,1,2,3,1,2,2,1,4,4,4,4,4,4,4,4,90,129,CA,0,-1,-1,C
61,2,1,2,1,2,1,3,2,3,2,4,2,2,1,2,1,2,3,4,5,3,5,5,4,4,2,5,2,3,3,4,4,2,1,4,2,1,3,3,1,4,1,4,1,2,4,3,1,1,95,187,US,0,-1,-1,A
72,2,1,1,1,3,1,2,1,1,5,2,3,3,4,3,4,3,5,4,1,3,3,4,1,1,5,5,3,2,4,1,5,3,3,1,3,2,2,4,3,5,3,1,3,1,1,4,1,1,70,394,US,0,-1,-1,S
76,2,1,1,3,3,1,4,1,4,3,2,2,4,3,5,4,4,1,1,4,4,3,3,1,3,4,2,1,1,1,1,1,1,1,2,2,1,4,4,3,3,1,1,2,2,4,3,1,3,50,252,US,1,-1,-1,I
92,2,4,1,4,1,1,4,1,-1,4,4,4,5,4,4,4,4,1,4,2,4,4,2,5,4,4,4,4,4,4,2,2,2,2,1,4,5,5,4,2,2,2,1,2,2,1,3,2,2,80,158,GB,0,-1,-1,I
102,2,5,1,2,1,2,1,1,1,3,3,3,2,3,2,3,1,2,4,4,3,3,1,3,3,1,-1,2,2,1,2,3,1,2,4,4,2,4,4,3,5,2,2,1,3,1,1,1,2,99,221,GB,0,-1,-1,E
108,2,1,1,1,1,1,1,1,1,5,4,4,4,4,2,3,1,5,5,1,4,4,2,2,2,4,3,5,1,5,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,100,117,US,0,-1,-1,I
118,2,1,1,1,1,1,3,1,3,3,3,3,3,1,3,1,2,1,2,3,4,4,4,3,2,4,3,3,3,4,3,3,2,2,2,2,1,2,3,3,2,1,1,2,1,1,2,2,1,90,224,US,0,-1,-1,S
125,2,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,5,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,1,5,5,1,1,100,167,US,0,-1,-1,S
142,2,1,1,1,1,1,1,1,3,3,4,3,1,3,1,5,1,3,1,1,2,4,5,1,1,4,5,1,4,3,4,1,2,1,1,4,1,5,1,1,1,3,1,1,5,4,3,5,3,89,259,US,1,-1,-1,C
144,2,1,3,1,5,3,4,4,1,3,2,2,2,2,2,2,1,3,1,5,3,2,4,1,3,4,4,2,1,2,1,1,3,2,2,2,1,4,1,1,5,1,4,5,1,3,4,1,3,95,357,SY,1,-1,-1,R
148,2,4,1,1,1,1,1,2,1,5,5,5,4,5,5,5,3,5,5,5,5,5,5,2,4,5,5,4,4,4,5,5,3,2,3,4,3,4,4,1,3,5,5,2,5,4,4,3,4,85,144,US,1,-1,-1,I
164,2,4,1,1,5,3,5,3,3,1,4,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,3,2,1,1,2,2,1,1,1,1,1,3,5,4,4,2,1,1,5,100,290,US,1,-1,-1,R
166,2,3,3,1,1,1,3,2,1,3,2,3,1,1,3,1,1,3,3,4,2,5,3,1,2,5,3,1,2,3,3,3,1,4,3,4,1,5,3,4,3,3,3,1,1,3,3,1,1,90,171,US,1,-1,-1,E
167,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,5,1,4,1,1,1,1,1,2,1,1,1,1,4,4,5,4,1,1,1,1,4,1,3,3,3,1,95,200,PH,1,-1,-1,A
179,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,3,5,4,4,4,5,1,3,4,5,4,4,4,3,2,3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,100,109,US,1,-1,-1,A
212,2,4,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,2,3,1,1,1,2,3,5,3,4,4,2,3,4,4,5,4,5,5,4,3,90,118,US,1,-1,-1,C
227,2,3,4,1,4,4,4,2,4,4,5,4,4,3,4,2,2,5,5,2,5,4,5,4,2,3,3,2,2,3,4,3,1,2,1,3,4,2,2,3,3,2,2,2,2,1,3,2,2,90,259,US,0,-1,-1,A
233,2,1,1,3,1,1,1,1,1,1,5,1,1,1,4,1,1,1,5,3,4,5,2,1,4,1,5,3,1,3,1,3,1,5,1,4,1,1,3,3,1,1,-1,1,1,1,1,1,1,70,399,US,1,-1,-1,A
238,2,4,4,1,4,1,5,3,5,5,5,4,5,4,4,4,4,5,2,5,4,2,5,4,5,3,3,1,3,2,1,2,1,3,2,1,3,2,2,1,4,1,1,2,1,1,1,1,1,90,274,HK,0,-1,-1,I
